Type_of_Leader Decision Required_time Position Velocity
R N 2.64 13.33 5.84 
R N 4.20 13.30 6.52 
R N 3.98 7.83 130.58 
R N 2.04 14.99 19.21 
R N 1.30 14.94 27.67 
r N 1.84 4.67 23.37 
R N 4.88 7.27 13.98 
R N 1.44 6.45 5.20 
R N 1.64 13.21 9.05 
R N 0.24 9.21 46.03 
R N 1.50 6.79 22.62 
R N 5.04 4.87 4.77 
R N 2.96 4.06 4.96 
R N 3.76 10.21 10.64 
R N 2.72 13.27 19.52 
R N 2.66 5.64 10.44 
R N 2.78 10.28 19.05 
R N 4.60 12.06 15.87 
R N 3.70 13.58 33.96 
R N 2.40 14.74 12.71 
R N 1.52 11.01 16.20 
R N 5.70 2.75 2.87 
R N 6.94 7.01 16.68 
R N 4.56 4.34 12.76 
R N 4.42 3.72 9.29 
R N 7.58 13.83 11.93 
